"filename", "language", "CSS", "JavaScript", "comment", "blank", "total"
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/javascripts/delete-review.js", "JavaScript", 0, 18, 0, 2, 20
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/javascripts/delete-shelf.js", "JavaScript", 0, 17, 0, 3, 20
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/javascripts/edit-review.js", "JavaScript", 0, 38, 1, 2, 41
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/javascripts/index.js", "JavaScript", 0, 3, 0, 0, 3
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/stylesheets/index.css", "CSS", 95, 0, 0, 20, 115
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/stylesheets/login.css", "CSS", 26, 0, 3, 4, 33
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/stylesheets/movie-page-styles.css", "CSS", 7, 0, 0, 2, 9
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/stylesheets/movies-styles.css", "CSS", 4, 0, 0, 1, 5
"/Users/rickycheung/Desktop/App-Academy/express-group-project/great-watch/public/stylesheets/reset.css", "CSS", 23, 0, 0, 4, 27
"Total", "-", 155, 76, 4, 38, 273
